CODE,TYPE
WHS_EXP_BRB,COUNTRY
WHS_EXP_CAF,COUNTRY
WHS_EXP_CAN,COUNTRY
WHS_EXP_CHN,COUNTRY
WHS_EXP_COD,COUNTRY
WHS_EXP_COG,COUNTRY
WHS_EXP_COL,COUNTRY
WHS_EXP_CPV,COUNTRY
WHS_EXP_CUB,COUNTRY
WHS_EXP_CYM,COUNTRY
WHS_EXP_CYP,COUNTRY
WHS_EXP_DEU,COUNTRY
WHS_EXP_DJI,COUNTRY
WHS_EXP_DZA,COUNTRY
WHS_EXP_ECU,COUNTRY
WHS_EXP_EGY,COUNTRY
WHS_EXP_ESP,COUNTRY
WHS_EXP_ETH,COUNTRY
WHS_EXP_FRA,COUNTRY
WHS_EXP_GBR,COUNTRY
WHS_EXP_GRC,COUNTRY
WHS_EXP_HKG,COUNTRY
WHS_EXP_HRV,COUNTRY
WHS_EXP_IDN,COUNTRY
WHS_EXP_IMN,COUNTRY
WHS_EXP_IND,COUNTRY
WHS_EXP_IRL,COUNTRY
WHS_EXP_IRN,COUNTRY
WHS_EXP_ISR,COUNTRY
WHS_EXP_ITA,COUNTRY
WHS_EXP_JPN,COUNTRY
WHS_EXP_KEN,COUNTRY
WHS_EXP_KGZ,COUNTRY
WHS_EXP_KOR,COUNTRY
WHS_EXP_KWT,COUNTRY
WHS_EXP_LAO,COUNTRY
WHS_EXP_LBR,COUNTRY
WHS_EXP_LBY,COUNTRY
WHS_EXP_LKA,COUNTRY
WHS_EXP_LUX,COUNTRY
WHS_EXP_MAR,COUNTRY
WHS_EXP_MEX,COUNTRY
WHS_EXP_MHL,COUNTRY
WHS_EXP_MLI,COUNTRY
